,Row Labels,Goals,Assists,Perc_Passes_Completed,Penalty_Goals,Yellow_Cards,Red_Cards
0,Arsenal,53,38,2356.6,6,49,5
1,Aston Villa,52,38,1843.1,5,71,4
2,Brighton,39,24,1943.7,6,49,6
3,Burnley,32,20,1686.4,3,48,0
4,Chelsea,56,38,2268.9,8,51,3
5,Crystal Palace,39,29,1788.7,3,56,2
6,Everton,45,32,2306.1,4,59,2
7,Fulham,26,18,2287.9,3,67,3
8,Leeds United,60,45,1825.8,4,61,1
9,Leicester City,64,45,2139.5,10,61,0
10,Liverpool FC,65,43,2336.7,6,40,0
11,Manchester City,82,55,2081.6,5,46,2
12,Manchester United,70,51,2368.2,10,64,1
13,Newcastle United,44,26,2027.3,6,65,3
14,Sheffield United,19,13,1999.0,3,73,3
15,Southampton,47,33,2115.7,5,52,3
16,Tottenham Hotspur,66,50,1824.1,5,57,2
17,West Bromwich Albion,33,20,2171.5,4,51,4
18,West Ham United,60,46,1835.9,2,50,3
19,Wolverhampton Wanderers,34,21,2195.6,4,55,1
